geometry;name;price_level;rating;types;user_ratings_total;vicinity;longitude;latitude
{'location': {'lat': 52.3750118, 'lng': 4.8987627}, 'viewport': {'northeast': {'lat': 52.37626358029149, 'lng': 4.900321730291502}, 'southwest': {'lat': 52.37356561970849, 'lng': 4.897623769708497}}};Pizzeria steakhouse;;3,9;Grill;76;Lange Niezel 19, Amsterdam;4.8916058;52.3743533
{'location': {'lat': 52.3757432, 'lng': 4.891696400000001}, 'viewport': {'northeast': {'lat': 52.3770543802915, 'lng': 4.893124930291503}, 'southwest': {'lat': 52.3743564197085, 'lng': 4.890426969708498}}};NAKED SUSHI EVENTS;;4;Sushi;2;Spuistraat 74, Amsterdam;4.891696400000001;52.3757432
{'location': {'lat': 52.3761301, 'lng': 4.8917236}, 'viewport': {'northeast': {'lat': 52.3774531302915, 'lng': 4.893241880291503}, 'southwest': {'lat': 52.37475516970851, 'lng': 4.890543919708498}}};Tales & Spirits;3;4,6;Bar;1248;Lijnbaanssteeg 5-7, Amsterdam;4.8917236;52.3761301
{'location': {'lat': 52.3751459, 'lng': 4.898513699999999}, 'viewport': {'northeast': {'lat': 52.3763214302915, 'lng': 4.900181430291502}, 'southwest': {'lat': 52.3736234697085, 'lng': 4.897483469708497}}};Restaurant Kamasutra;2;4;Indian;407;Lange Niezel 9, Amsterdam;4.891738399999999;52.3744186
{'location': {'lat': 52.3749882, 'lng': 4.898914}, 'viewport': {'northeast': {'lat': 52.3762425802915, 'lng': 4.900386180291502}, 'southwest': {'lat': 52.3735446197085, 'lng': 4.897688219708497}}};Hongkong kitchen;;4,2;Asian;292;Lange Niezel 25HS, Amsterdam;4.8917511;52.37448869999999
{'location': {'lat': 52.3752449, 'lng': 4.8980969}, 'viewport': {'northeast': {'lat': 52.3766851302915, 'lng': 4.899070730291502}, 'southwest': {'lat': 52.3739871697085, 'lng': 4.896372769708497}}};Pimp Steak;;3,9;Grill;92;Warmoesstraat 59, Amsterdam;4.8917511;52.37448869999999
{'location': {'lat': 52.37448869999999, 'lng': 4.8917511}, 'viewport': {'northeast': {'lat': 52.3758686302915, 'lng': 4.893003230291501}, 'southwest': {'lat': 52.3731706697085, 'lng': 4.890305269708497}}};La Casa;;3;Italian;106;Nieuwezijds Voorburgwal 105, Amsterdam;4.8917511};52.37448869999999
{'location': {'lat': 52.3749213, 'lng': 4.899070699999999}, 'viewport': {'northeast': {'lat': 52.3762106302915, 'lng': 4.900468230291501}, 'southwest': {'lat': 52.3735126697085, 'lng': 4.897770269708497}}};Centra;2;4,3;Spanish;166;Lange Niezel 29, Amsterdam;4.891852200000001;52.3742505
{'location': {'lat': 52.3753102, 'lng': 4.8977194}, 'viewport': {'northeast': {'lat': 52.3766991802915, 'lng': 4.898870280291501}, 'southwest': {'lat': 52.3740012197085, 'lng': 4.896172319708496}}};Kabab Corner;;3,6;Kebap;78;Oudebrugsteeg 6, Amsterdam;4.8919733;52.3743099
{'location': {'lat': 52.3736593, 'lng': 4.8954609}, 'viewport': {'northeast': {'lat': 52.3750082802915, 'lng': 4.896809880291501}, 'southwest': {'lat': 52.3723103197085, 'lng': 4.894111919708497}}};Dam Steakhaus;;5;Grill;1;Warmoesstraat 170, Amsterdam;4.892002;52.3736992
{'location': {'lat': 52.3760262, 'lng': 4.8920905}, 'viewport': {'northeast': {'lat': 52.3773701302915, 'lng': 4.893537430291503}, 'southwest': {'lat': 52.3746721697085, 'lng': 4.890839469708498}}};Amour Bakery;;2,3;Sweet;114;3, Lijnbaanssteeg 1, Amsterdam;4.8920905;52.3760262
{'location': {'lat': 52.37614379999999, 'lng': 4.894243800000001}, 'viewport': {'northeast': {'lat': 52.37759328029149, 'lng': 4.895430380291502}, 'southwest': {'lat': 52.37489531970849, 'lng': 4.892732419708497}}};Humphrey's;2;4,3;Classic;859;Nieuwezijds Kolk 23, Amsterdam;4.892212799999998;52.3750238
{'location': {'lat': 52.3750411, 'lng': 4.8922496}, 'viewport': {'northeast': {'lat': 52.3762361302915, 'lng': 4.893346430291502}, 'southwest': {'lat': 52.3735381697085, 'lng': 4.890648469708498}}};Famous Burger;2;3,5;Burger;177;Nieuwezijds Voorburgwal 87, Amsterdam;4.892225100000001;52.3749828
{'location': {'lat': 52.3761355, 'lng': 4.892246699999999}, 'viewport': {'northeast': {'lat': 52.37745003029149, 'lng': 4.893661680291503}, 'southwest': {'lat': 52.37475206970849, 'lng': 4.890963719708498}}};The Yeti - Authentic Nepali & Indian Food;;4,8;Indian;45;Spuistraat 54D, Amsterdam;4.892246699999999;52.3761355
{'location': {'lat': 52.3761435, 'lng': 4.8941557}, 'viewport': {'northeast': {'lat': 52.3775910802915, 'lng': 4.895392630291502}, 'southwest': {'lat': 52.3748931197085, 'lng': 4.892694669708497}}};SunLight Lounge;;4,2;Special;29;Nieuwezijds Kolk 25, Amsterdam;4.8922496;52.3750411
{'location': {'lat': 52.3744581, 'lng': 4.889732}, 'viewport': {'northeast': {'lat': 52.3758113302915, 'lng': 4.891052480291502}, 'southwest': {'lat': 52.37311336970851, 'lng': 4.888354519708498}}};Ellis Gourmet Burger - Singel;;4;Burger;309;Singel 161A, Amsterdam;4.8923282;52.3736185
{'location': {'lat': 52.3741918, 'lng': 4.8907131}, 'viewport': {'northeast': {'lat': 52.37552853029149, 'lng': 4.892172180291501}, 'southwest': {'lat': 52.37283056970849, 'lng': 4.889474219708497}}};Snackbar De Mol;;4,3;Fastfood;85;Molsteeg 4-6, Amsterdam;4.8923282;52.3736185
{'location': {'lat': 52.374441, 'lng': 4.890025}, 'viewport': {'northeast': {'lat': 52.3757745802915, 'lng': 4.891473930291502}, 'southwest': {'lat': 52.3730766197085, 'lng': 4.888775969708497}}};Theater Restaurant 't Sluisje;2;4,5;Special;169;Torensteeg 1, Amsterdam;4.8924467;52.3742057
{'location': {'lat': 52.3737086, 'lng': 4.8902131}, 'viewport': {'northeast': {'lat': 52.3750162802915, 'lng': 4.891777530291503}, 'southwest': {'lat': 52.3723183197085, 'lng': 4.889079569708498}}};Ta Toru;;4,6;Classic;43;Nieuwezijds Voorburgwal 182I, Amsterdam;4.8924513;52.3736747
{'location': {'lat': 52.376161, 'lng': 4.893852}, 'viewport': {'northeast': {'lat': 52.37758788029149, 'lng': 4.895277330291502}, 'southwest': {'lat': 52.37488991970849, 'lng': 4.892579369708498}}};Mortimer;;4,7;Classic;175;Nieuwezijds Kolk 33, Amsterdam;4.8924784;52.3752401
{'location': {'lat': 52.37429229999999, 'lng': 4.890378800000001}, 'viewport': {'northeast': {'lat': 52.37565608029149, 'lng': 4.891648730291502}, 'southwest': {'lat': 52.37295811970849, 'lng': 4.888950769708498}}};Cocotte;2;4,5;Sweet;494;Spuistraat 127, Amsterdam;4.892517799999998;52.3742133
{'location': {'lat': 52.3745248, 'lng': 4.8902186}, 'viewport': {'northeast': {'lat': 52.37584728029149, 'lng': 4.891630780291503}, 'southwest': {'lat': 52.3731493197085, 'lng': 4.888932819708498}}};Italian Restaurant And bar;;4,4;Italian;46;Amsterdam;4.892517799999998;52.3742133
{'location': {'lat': 52.3768809, 'lng': 4.894265}, 'viewport': {'northeast': {'lat': 52.3781922302915, 'lng': 4.895654930291503}, 'southwest': {'lat': 52.3754942697085, 'lng': 4.892956969708498}}};Moti Mahal Restaurant;2;4,1;Indian;618;Nieuwezijds Voorburgwal 34, Amsterdam;4.892545800000001;52.3748657
{'location': {'lat': 52.3748657, 'lng': 4.892545800000001}, 'viewport': {'northeast': {'lat': 52.3761598802915, 'lng': 4.893481780291503}, 'southwest': {'lat': 52.3734619197085, 'lng': 4.890783819708498}}};Kaagman & Kortekaas;3;4,5;Classic;283;Sint Nicolaasstraat 43, Amsterdam;4.892545800000001;52.3748657 
{'location': {'lat': 52.3745401, 'lng': 4.89021}, 'viewport': {'northeast': {'lat': 52.3758588802915, 'lng': 4.891630980291502}, 'southwest': {'lat': 52.3731609197085, 'lng': 4.888933019708498}}};Spuistraat 122 - Italian Restaurant;2;4,4;Italian;298;Spuistraat 122, Amsterdam;4.8926222;52.3743183
{'location': {'lat': 52.3740773, 'lng': 4.890692099999999}, 'viewport': {'northeast': {'lat': 52.3754014302915, 'lng': 4.892126580291502}, 'southwest': {'lat': 52.3727034697085, 'lng': 4.889428619708498}}};Restaurant Hulscher's;;4,3;Classic;147;Nieuwezijds Voorburgwal 178, Amsterdam;4.892679100000001;52.3742319
{'location': {'lat': 52.3766982, 'lng': 4.893547499999999}, 'viewport': {'northeast': {'lat': 52.3780471802915, 'lng': 4.894896480291502}, 'southwest': {'lat': 52.3753492197085, 'lng': 4.892198519708497}}};Burger House Amsterdam;;4,4;Burger;34;Korte, Kolksteeg 5H, Amsterdam;4.892944300000001;52.375468
{'location': {'lat': 52.37568109999999, 'lng': 4.893206300000001}, 'viewport': {'northeast': {'lat': 52.3770898302915, 'lng': 4.894493580291503}, 'southwest': {'lat': 52.3743918697085, 'lng': 4.891795619708498}}};Angus American Steakhouse;2;4,2;Grill;737;Nieuwezijds Voorburgwal 61, Amsterdam;4.893206300000000;52.37568109999999
{'location': {'lat': 52.3757785, 'lng': 4.893320199999999}, 'viewport': {'northeast': {'lat': 52.3771367302915, 'lng': 4.894554580291502}, 'southwest': {'lat': 52.3744387697085, 'lng': 4.891856619708498}}};Tapasbar & Restaurant Village;;2;Tapas;4;Nieuwezijds Voorburgwal 59, Amsterdam;4.893320199999999},;52.3757785
{'location': {'lat': 52.3757806, 'lng': 4.8933374}, 'viewport': {'northeast': {'lat': 52.3771399302915, 'lng': 4.894559530291502}, 'southwest': {'lat': 52.3744419697085, 'lng': 4.891861569708498}}};Bagels Sandwich Village;;3,8;Sandwhich;195;Nieuwezijds Voorburgwal 59, Amsterdam;4.8933374;52.3757806
{'location': {'lat': 52.3759021, 'lng': 4.893448099999999}, 'viewport': {'northeast': {'lat': 52.3771887302915, 'lng': 4.894635430291502}, 'southwest': {'lat': 52.3744907697085, 'lng': 4.891937469708497}}};Cafe Baileys Place;;3,7;Cafe;3;Nieuwezijds Voorburgwal 53, Amsterdam;4.893448099999999;52.3759021
{'location': {'lat': 52.3759024, 'lng': 4.8935039}, 'viewport': {'northeast': {'lat': 52.37719733029149, 'lng': 4.894648780291502}, 'southwest': {'lat': 52.3744993697085, 'lng': 4.891950819708498}}};Palmyra Syrian Restaurant;;4,8;Special;222;Nieuwezijds Voorburgwal 53H, Amsterdam;4.8935039;52.3759024
{'location': {'lat': 52.37609440000001, 'lng': 4.8937126}, 'viewport': {'northeast': {'lat': 52.37755498029149, 'lng': 4.895200980291502}, 'southwest': {'lat': 52.3748570197085, 'lng': 4.892503019708498}}};Grill Restaurant The King;;4,4;Grill;45;Nieuwezijds Voorburgwal 41-43, Amsterdam;4.8937126;52.37609440000001
{'location': {'lat': 52.375468, 'lng': 4.892944300000001}, 'viewport': {'northeast': {'lat': 52.3768744802915, 'lng': 4.894204480291502}, 'southwest': {'lat': 52.3741765197085, 'lng': 4.891506519708498}}};INK Hotel Amsterdam - MGallery;;4,6;Hotel;1385;Nieuwezijds Voorburgwal 67, Amsterdam;4.8938146;52.37614629999999
{'location': {'lat': 52.37614629999999, 'lng': 4.8938146}, 'viewport': {'northeast': {'lat': 52.37749528029149, 'lng': 4.895163580291502}, 'southwest': {'lat': 52.3747973197085, 'lng': 4.892465619708498}}};English Breakfast Grill Restaurant;;5;Grill;3;Netherlands;4.893818499999999;52.3760971
{'location': {'lat': 52.3753041, 'lng': 4.891169299999999}, 'viewport': {'northeast': {'lat': 52.3766200802915, 'lng': 4.892587730291503}, 'southwest': {'lat': 52.3739221197085, 'lng': 4.889889769708498}}};Maenaam Thai Restaurant;2;4,5;Asian;601;Spuistraat 90A, Amsterdam;4.893838499999999;52.37539039999999
{'location': {'lat': 52.3760971, 'lng': 4.893818499999999}, 'viewport': {'northeast': {'lat': 52.37757203029149, 'lng': 4.895227480291502}, 'southwest': {'lat': 52.3748740697085, 'lng': 4.892529519708497}}};OMG! Burger;;4,4;Burger;43;Nieuwezijds Voorburgwal 41 41-43, Amsterdam;4.893852;52.376161
{'location': {'lat': 52.37508589999999, 'lng': 4.891523400000001}, 'viewport': {'northeast': {'lat': 52.37639453029149, 'lng': 4.892997330291502}, 'southwest': {'lat': 52.37369656970849, 'lng': 4.890299369708498}}};Ponte Vecchio;;3,9;Italian;162;Nieuwezijds Voorburgwal 136, Amsterdam;4.893972299999999;52.3753669
